deck_id,deck_name,archetype,tier,type,prize_plan,pilot_complexity,n_cards,legal,issues,key_card_ids,strategy,counters
D001,Dragapult ex,Dragapult ex,S,Psychic,multi,4,60,True,,119|120|121,Phantom Dive: 200 to active + spread 6 counters to bench; snipe with Dusknoir/Munkidori to take 2-3 prizes/turn.,Bench sitters die to spread; weak to fast single-prize aggro before setup.
D002,Dragapult ex [Dusknoir],Dragapult ex,S,Psychic,multi,4,60,True,,119|120|121,Phantom Dive: 200 to active + spread 6 counters to bench; snipe with Dusknoir/Munkidori to take 2-3 prizes/turn.,Bench sitters die to spread; weak to fast single-prize aggro before setup.
D003,Dragapult ex [Budew],Dragapult ex,S,Psychic,multi,4,60,True,,119|120|121,Phantom Dive: 200 to active + spread 6 counters to bench; snipe with Dusknoir/Munkidori to take 2-3 prizes/turn.,Bench sitters die to spread; weak to fast single-prize aggro before setup.
D004,Dragapult ex [lean],Dragapult ex,S,Psychic,multi,4,60,True,,119|120|121,Phantom Dive: 200 to active + spread 6 counters to bench; snipe with Dusknoir/Munkidori to take 2-3 prizes/turn.,Bench sitters die to spread; weak to fast single-prize aggro before setup.
D005,Alakazam single-prize,Alakazam single-prize,S,Psychic,single,5,60,True,,741|742|245,Powerful Hand = 20 x cards in hand; Dudunsparce Run Away Draw builds a 15-20 card hand for 300-400. All single-prize = give up fewer prizes.,Damage-counter placement is blanked by prevention tools; needs huge hand.
D006,Alakazam single-prize [Fez],Alakazam single-prize,S,Psychic,single,5,60,True,,741|742|245,Powerful Hand = 20 x cards in hand; Dudunsparce Run Away Draw builds a 15-20 card hand for 300-400. All single-prize = give up fewer prizes.,Damage-counter placement is blanked by prevention tools; needs huge hand.
D007,Alakazam single-prize [thickAbra],Alakazam single-prize,S,Psychic,single,5,60,True,,741|742|245,Powerful Hand = 20 x cards in hand; Dudunsparce Run Away Draw builds a 15-20 card hand for 300-400. All single-prize = give up fewer prizes.,Damage-counter placement is blanked by prevention tools; needs huge hand.
D008,Alakazam single-prize [draw],Alakazam single-prize,S,Psychic,single,5,60,True,,741|742|245,Powerful Hand = 20 x cards in hand; Dudunsparce Run Away Draw builds a 15-20 card hand for 300-400. All single-prize = give up fewer prizes.,Damage-counter placement is blanked by prevention tools; needs huge hand.
D009,Mega Lopunny ex,Mega Lopunny ex,S,Colorless,multi,3,60,True,,758|849|1068,"Spam Gale Thrust 230 repeatedly; Abra/Dudunsparce for setup, Dusknoir to soften, Klefki to shut abilities.",Colorless weakness lines; disruption of switching hurts the pivot loop.
D010,Mega Lopunny ex [Klefki],Mega Lopunny ex,S,Colorless,multi,3,60,True,,758|849|1068,"Spam Gale Thrust 230 repeatedly; Abra/Dudunsparce for setup, Dusknoir to soften, Klefki to shut abilities.",Colorless weakness lines; disruption of switching hurts the pivot loop.
D011,Mega Lopunny ex [noKlefki],Mega Lopunny ex,S,Colorless,multi,3,60,True,,758|849|1068,"Spam Gale Thrust 230 repeatedly; Abra/Dudunsparce for setup, Dusknoir to soften, Klefki to shut abilities.",Colorless weakness lines; disruption of switching hurts the pivot loop.
D012,Mega Lopunny ex [fight],Mega Lopunny ex,S,Colorless,multi,3,60,True,,758|849|1068,"Spam Gale Thrust 230 repeatedly; Abra/Dudunsparce for setup, Dusknoir to soften, Klefki to shut abilities.",Colorless weakness lines; disruption of switching hurts the pivot loop.
D013,Mega Absol ex,Mega Absol ex,A,Dark,multi,4,60,True,,687|776|139,Tord's tech OHKO: situational attacks that KO regardless of HP; punishes 3-prize Mega ex board.,Setup-reliant; bricks against fast single-prize.
D014,Mega Absol ex [Munki],Mega Absol ex,A,Dark,multi,4,60,True,,687|776|139,Tord's tech OHKO: situational attacks that KO regardless of HP; punishes 3-prize Mega ex board.,Setup-reliant; bricks against fast single-prize.
D015,Mega Absol ex [Absolnonex],Mega Absol ex,A,Dark,multi,4,60,True,,687|776|139,Tord's tech OHKO: situational attacks that KO regardless of HP; punishes 3-prize Mega ex board.,Setup-reliant; bricks against fast single-prize.
D016,Mega Absol ex [lean],Mega Absol ex,A,Dark,multi,4,60,True,,687|776|139,Tord's tech OHKO: situational attacks that KO regardless of HP; punishes 3-prize Mega ex board.,Setup-reliant; bricks against fast single-prize.
D017,Marnie's Grimmsnarl ex,Marnie's Grimmsnarl ex,A,Dark,multi,4,60,True,,646|647|648,"Self energy accel across Marnie's Pokemon; spread with Froslass + Munkidori shadow, then Shadow-bolt finish.",Board-wide spread answered by heal (Fennel/Lana's Aid); benches die to counter-spread.
