deck_id,deck_name,card_id,card_name,count
D001,Dragapult ex,5,Basic {P} Energy,5
D001,Dragapult ex,6,Basic {F} Energy,3
D001,Dragapult ex,112,Munkidori,2
D001,Dragapult ex,119,Dreepy,3
D001,Dragapult ex,120,Drakloak,1
D001,Dragapult ex,121,Dragapult ex,3
D001,Dragapult ex,131,Duskull,2
D001,Dragapult ex,133,Dusknoir,2
D001,Dragapult ex,1079,Rare Candy,4
D001,Dragapult ex,1086,Buddy-Buddy Poffin,4
D001,Dragapult ex,1088,Prime Catcher,1
D001,Dragapult ex,1097,Night Stretcher,2
D001,Dragapult ex,1102,Dusk Ball,2
D001,Dragapult ex,1121,Ultra Ball,4
D001,Dragapult ex,1122,Pokégear 3.0,4
D001,Dragapult ex,1123,Switch,2
D001,Dragapult ex,1181,Billy & O'Nare,4
D001,Dragapult ex,1182,Boss’s Orders,2
D001,Dragapult ex,1213,Judge,4
D001,Dragapult ex,1224,Cheren,4
D001,Dragapult ex,1225,Hilda,2
D002,Dragapult ex [Dusknoir],5,Basic {P} Energy,5
D002,Dragapult ex [Dusknoir],6,Basic {F} Energy,3
D002,Dragapult ex [Dusknoir],112,Munkidori,2
D002,Dragapult ex [Dusknoir],119,Dreepy,3
D002,Dragapult ex [Dusknoir],120,Drakloak,1
D002,Dragapult ex [Dusknoir],121,Dragapult ex,3
D002,Dragapult ex [Dusknoir],131,Duskull,3
D002,Dragapult ex [Dusknoir],133,Dusknoir,3
D002,Dragapult ex [Dusknoir],1079,Rare Candy,4
D002,Dragapult ex [Dusknoir],1086,Buddy-Buddy Poffin,4
D002,Dragapult ex [Dusknoir],1088,Prime Catcher,1
D002,Dragapult ex [Dusknoir],1097,Night Stretcher,2
D002,Dragapult ex [Dusknoir],1102,Dusk Ball,2
D002,Dragapult ex [Dusknoir],1121,Ultra Ball,4
D002,Dragapult ex [Dusknoir],1122,Pokégear 3.0,4
D002,Dragapult ex [Dusknoir],1123,Switch,2
D002,Dragapult ex [Dusknoir],1181,Billy & O'Nare,4
D002,Dragapult ex [Dusknoir],1182,Boss’s Orders,2
D002,Dragapult ex [Dusknoir],1213,Judge,2
D002,Dragapult ex [Dusknoir],1224,Cheren,4
D002,Dragapult ex [Dusknoir],1225,Hilda,2
D003,Dragapult ex [Budew],5,Basic {P} Energy,5
D003,Dragapult ex [Budew],6,Basic {F} Energy,3
D003,Dragapult ex [Budew],112,Munkidori,2
D003,Dragapult ex [Budew],119,Dreepy,2
D003,Dragapult ex [Budew],120,Drakloak,1
D003,Dragapult ex [Budew],121,Dragapult ex,3
D003,Dragapult ex [Budew],131,Duskull,2
D003,Dragapult ex [Budew],133,Dusknoir,2
D003,Dragapult ex [Budew],235,Budew,2
D003,Dragapult ex [Budew],1079,Rare Candy,4
D003,Dragapult ex [Budew],1086,Buddy-Buddy Poffin,4
D003,Dragapult ex [Budew],1088,Prime Catcher,1
D003,Dragapult ex [Budew],1097,Night Stretcher,2
D003,Dragapult ex [Budew],1102,Dusk Ball,2
D003,Dragapult ex [Budew],1121,Ultra Ball,4
D003,Dragapult ex [Budew],1122,Pokégear 3.0,4
D003,Dragapult ex [Budew],1123,Switch,2
D003,Dragapult ex [Budew],1181,Billy & O'Nare,4
D003,Dragapult ex [Budew],1182,Boss’s Orders,2
D003,Dragapult ex [Budew],1213,Judge,3
D003,Dragapult ex [Budew],1224,Cheren,4
D003,Dragapult ex [Budew],1225,Hilda,2
D004,Dragapult ex [lean],5,Basic {P} Energy,5
D004,Dragapult ex [lean],6,Basic {F} Energy,3
D004,Dragapult ex [lean],112,Munkidori,2
D004,Dragapult ex [lean],119,Dreepy,3
D004,Dragapult ex [lean],120,Drakloak,1
D004,Dragapult ex [lean],121,Dragapult ex,3
D004,Dragapult ex [lean],131,Duskull,2
D004,Dragapult ex [lean],133,Dusknoir,2
D004,Dragapult ex [lean],1079,Rare Candy,4
D004,Dragapult ex [lean],1086,Buddy-Buddy Poffin,4
D004,Dragapult ex [lean],1088,Prime Catcher,1
D004,Dragapult ex [lean],1097,Night Stretcher,2
D004,Dragapult ex [lean],1102,Dusk Ball,2
D004,Dragapult ex [lean],1121,Ultra Ball,4
D004,Dragapult ex [lean],1122,Pokégear 3.0,4
D004,Dragapult ex [lean],1123,Switch,2
D004,Dragapult ex [lean],1181,Billy & O'Nare,4
D004,Dragapult ex [lean],1182,Boss’s Orders,2
D004,Dragapult ex [lean],1213,Judge,4
D004,Dragapult ex [lean],1224,Cheren,4
D004,Dragapult ex [lean],1225,Hilda,2
D005,Alakazam single-prize,5,Basic {P} Energy,6
D005,Alakazam single-prize,65,Dunsparce,3
D005,Alakazam single-prize,66,Dudunsparce,3
D005,Alakazam single-prize,140,Fezandipiti ex,1
D005,Alakazam single-prize,245,Alakazam,3
D005,Alakazam single-prize,741,Abra,4
D005,Alakazam single-prize,742,Kadabra,2
D005,Alakazam single-prize,1079,Rare Candy,4
D005,Alakazam single-prize,1086,Buddy-Buddy Poffin,4
D005,Alakazam single-prize,1088,Prime Catcher,1
D005,Alakazam single-prize,1097,Night Stretcher,2
D005,Alakazam single-prize,1102,Dusk Ball,2
D005,Alakazam single-prize,1121,Ultra Ball,4
D005,Alakazam single-prize,1122,Pokégear 3.0,4
D005,Alakazam single-prize,1123,Switch,2
D005,Alakazam single-prize,1181,Billy & O'Nare,4
D005,Alakazam single-prize,1182,Boss’s Orders,2
D005,Alakazam single-prize,1213,Judge,3
D005,Alakazam single-prize,1224,Cheren,4
D005,Alakazam single-prize,1225,Hilda,2
D006,Alakazam single-prize [Fez],5,Basic {P} Energy,6
D006,Alakazam single-prize [Fez],65,Dunsparce,3
D006,Alakazam single-prize [Fez],66,Dudunsparce,3
D006,Alakazam single-prize [Fez],140,Fezandipiti ex,2
D006,Alakazam single-prize [Fez],245,Alakazam,3
D006,Alakazam single-prize [Fez],741,Abra,4
D006,Alakazam single-prize [Fez],742,Kadabra,2
D006,Alakazam single-prize [Fez],1079,Rare Candy,4
D006,Alakazam single-prize [Fez],1086,Buddy-Buddy Poffin,4
D006,Alakazam single-prize [Fez],1088,Prime Catcher,1
D006,Alakazam single-prize [Fez],1097,Night Stretcher,2
D006,Alakazam single-prize [Fez],1102,Dusk Ball,2
D006,Alakazam single-prize [Fez],1121,Ultra Ball,4
D006,Alakazam single-prize [Fez],1122,Pokégear 3.0,4
D006,Alakazam single-prize [Fez],1123,Switch,2
D006,Alakazam single-prize [Fez],1181,Billy & O'Nare,4
D006,Alakazam single-prize [Fez],1182,Boss’s Orders,2
D006,Alakazam single-prize [Fez],1213,Judge,2
D006,Alakazam single-prize [Fez],1224,Cheren,4
D006,Alakazam single-prize [Fez],1225,Hilda,2
D007,Alakazam single-prize [thickAbra],5,Basic {P} Energy,6
D007,Alakazam single-prize [thickAbra],65,Dunsparce,3
D007,Alakazam single-prize [thickAbra],66,Dudunsparce,3
D007,Alakazam single-prize [thickAbra],109,Abra,2
D007,Alakazam single-prize [thickAbra],140,Fezandipiti ex,1
D007,Alakazam single-prize [thickAbra],245,Alakazam,3
D007,Alakazam single-prize [thickAbra],741,Abra,3
D007,Alakazam single-prize [thickAbra],742,Kadabra,2
D007,Alakazam single-prize [thickAbra],1079,Rare Candy,4
D007,Alakazam single-prize [thickAbra],1086,Buddy-Buddy Poffin,4
D007,Alakazam single-prize [thickAbra],1088,Prime Catcher,1
D007,Alakazam single-prize [thickAbra],1097,Night Stretcher,2
D007,Alakazam single-prize [thickAbra],1102,Dusk Ball,2
D007,Alakazam single-prize [thickAbra],1121,Ultra Ball,4
D007,Alakazam single-prize [thickAbra],1122,Pokégear 3.0,4
D007,Alakazam single-prize [thickAbra],1123,Switch,2
D007,Alakazam single-prize [thickAbra],1181,Billy & O'Nare,4
D007,Alakazam single-prize [thickAbra],1182,Boss’s Orders,2
D007,Alakazam single-prize [thickAbra],1213,Judge,2
D007,Alakazam single-prize [thickAbra],1224,Cheren,4
D007,Alakazam single-prize [thickAbra],1225,Hilda,2
D008,Alakazam single-prize [draw],5,Basic {P} Energy,6
D008,Alakazam single-prize [draw],65,Dunsparce,3
D008,Alakazam single-prize [draw],66,Dudunsparce,3
D008,Alakazam single-prize [draw],140,Fezandipiti ex,1
D008,Alakazam single-prize [draw],245,Alakazam,3
D008,Alakazam single-prize [draw],741,Abra,4
D008,Alakazam single-prize [draw],742,Kadabra,2
D008,Alakazam single-prize [draw],1079,Rare Candy,4
D008,Alakazam single-prize [draw],1086,Buddy-Buddy Poffin,4
D008,Alakazam single-prize [draw],1088,Prime Catcher,1
D008,Alakazam single-prize [draw],1097,Night Stretcher,2
D008,Alakazam single-prize [draw],1102,Dusk Ball,2
D008,Alakazam single-prize [draw],1121,Ultra Ball,4
D008,Alakazam single-prize [draw],1122,Pokégear 3.0,4
D008,Alakazam single-prize [draw],1123,Switch,2
D008,Alakazam single-prize [draw],1181,Billy & O'Nare,4
D008,Alakazam single-prize [draw],1182,Boss’s Orders,2
D008,Alakazam single-prize [draw],1213,Judge,3
D008,Alakazam single-prize [draw],1224,Cheren,4
D008,Alakazam single-prize [draw],1225,Hilda,2
D009,Mega Lopunny ex,5,Basic {P} Energy,4
D009,Mega Lopunny ex,6,Basic {F} Energy,4
D009,Mega Lopunny ex,131,Duskull,1
D009,Mega Lopunny ex,133,Dusknoir,1
D009,Mega Lopunny ex,741,Abra,2
D009,Mega Lopunny ex,742,Kadabra,1
D009,Mega Lopunny ex,758,Buneary,3
D009,Mega Lopunny ex,849,Mega Lopunny ex,3
D009,Mega Lopunny ex,1068,Klefki,1
D009,Mega Lopunny ex,1086,Buddy-Buddy Poffin,4
D009,Mega Lopunny ex,1088,Prime Catcher,1
D009,Mega Lopunny ex,1097,Night Stretcher,4
D009,Mega Lopunny ex,1102,Dusk Ball,4
D009,Mega Lopunny ex,1121,Ultra Ball,4
D009,Mega Lopunny ex,1122,Pokégear 3.0,4
D009,Mega Lopunny ex,1123,Switch,2
D009,Mega Lopunny ex,1156,Lucky Helmet,1
D009,Mega Lopunny ex,1181,Billy & O'Nare,4
D009,Mega Lopunny ex,1182,Boss’s Orders,2
D009,Mega Lopunny ex,1184,Lana’s Aid,2
D009,Mega Lopunny ex,1213,Judge,4
D009,Mega Lopunny ex,1224,Cheren,4
D010,Mega Lopunny ex [Klefki],5,Basic {P} Energy,4
D010,Mega Lopunny ex [Klefki],6,Basic {F} Energy,4
D010,Mega Lopunny ex [Klefki],131,Duskull,1
D010,Mega Lopunny ex [Klefki],133,Dusknoir,1
D010,Mega Lopunny ex [Klefki],741,Abra,2
D010,Mega Lopunny ex [Klefki],742,Kadabra,1
D010,Mega Lopunny ex [Klefki],758,Buneary,3
D010,Mega Lopunny ex [Klefki],849,Mega Lopunny ex,3
D010,Mega Lopunny ex [Klefki],1068,Klefki,2
D010,Mega Lopunny ex [Klefki],1086,Buddy-Buddy Poffin,4
D010,Mega Lopunny ex [Klefki],1088,Prime Catcher,1
D010,Mega Lopunny ex [Klefki],1097,Night Stretcher,4
D010,Mega Lopunny ex [Klefki],1102,Dusk Ball,4
D010,Mega Lopunny ex [Klefki],1121,Ultra Ball,4
D010,Mega Lopunny ex [Klefki],1122,Pokégear 3.0,4
D010,Mega Lopunny ex [Klefki],1123,Switch,2
D010,Mega Lopunny ex [Klefki],1181,Billy & O'Nare,4
D010,Mega Lopunny ex [Klefki],1182,Boss’s Orders,2
D010,Mega Lopunny ex [Klefki],1184,Lana’s Aid,2
D010,Mega Lopunny ex [Klefki],1213,Judge,4
D010,Mega Lopunny ex [Klefki],1224,Cheren,4
D011,Mega Lopunny ex [noKlefki],5,Basic {P} Energy,4
D011,Mega Lopunny ex [noKlefki],6,Basic {F} Energy,4
D011,Mega Lopunny ex [noKlefki],131,Duskull,1
D011,Mega Lopunny ex [noKlefki],133,Dusknoir,1
D011,Mega Lopunny ex [noKlefki],741,Abra,2
D011,Mega Lopunny ex [noKlefki],742,Kadabra,1
D011,Mega Lopunny ex [noKlefki],758,Buneary,4
D011,Mega Lopunny ex [noKlefki],849,Mega Lopunny ex,3
D011,Mega Lopunny ex [noKlefki],1086,Buddy-Buddy Poffin,4
D011,Mega Lopunny ex [noKlefki],1088,Prime Catcher,1
D011,Mega Lopunny ex [noKlefki],1097,Night Stretcher,4
